ticket_id,created_at,customer_id,customer_segment,channel,product_area,issue_type,priority,status,sla_plan,initial_message,agent_first_reply,resolution_summary,resolution_time_hours,reopened,customer_sentiment,csat_score,has_attachment,platform,region
TCKT_001558,2025-09-09 11:13:51,CUST_00578,small_business,chat,mobile_app,security_concern,high,open,gold,I noticed a suspicious login on my account.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,,,0,positive,5,0,ios,EU
TCKT_001592,2025-09-04 07:21:33,CUST_05907,individual,chat,notifications,billing_problem,low,closed_no_action,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,66.89,0,negative,2,1,web,
TCKT_001675,2025-09-25 20:31:14,CUST_00086,non_profit,chat,data_export,security_concern,high,closed_no_action,gold,We need details about your data encryption and compliance.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,Ticket closed without further action after no response from the customer.,122.57,0,very_negative,0,0,api_client,LATAM
TCKT_001723,2025-09-22 09:31:59,CUST_06854,enterprise,email,data_export,performance,medium,resolved,gold,The data export page is very slow and takes a long time to load.,We understand performance issues can be frustrating. Our team is reviewing this and will follow up within 24 hours.,Optimized queries and increased resource allocation.,24.55,0,neutral,0,0,desktop_app,MEA
TCKT_001831,2025-09-09 15:17:00,CUST_08763,enterprise,web_form,api_integration,bug,low,resolved,standard,The api integration feature is not saving my changes.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,Patched the bug and deployed a fix to production.,30.19,0,neutral,4,0,web,MEA
TCKT_001866,2025-09-01 07:20:19,CUST_08863,education,email,analytics_dashboard,bug,low,open,gold,I am seeing an error message when I click on analytics dashboard.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,,,0,negative,2,1,web,APAC
TCKT_001867,2025-09-21 23:15:55,CUST_06620,education,in_app,login_auth,security_concern,high,open,standard,I noticed a suspicious login on my account.,We take security very seriously. We are prioritizing this and will update you as soon as possible.,,,0,neutral,0,0,api_client,
TCKT_001940,2025-09-12 15:51:43,CUST_04835,small_business,in_app,notifications,account_access,low,resolved,gold,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,Reset account credentials and confirmed successful login.,47.8,0,neutral,3,0,desktop_app,MEA
TCKT_002022,2025-09-21 10:59:55,CUST_01907,enterprise,in_app,notifications,bug,medium,in_progress,gold,The notifications feature is not saving my changes.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,3,0,api_client,LATAM
TCKT_002046,2025-09-21 01:47:41,CUST_05522,small_business,web_form,mobile_app,feature_request,low,resolved,standard,Can you add an option to customize mobile app?,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Captured the request and added it to the product backlog.,28.55,0,neutral,3,1,api_client,
TCKT_002113,2025-09-16 23:02:54,CUST_06445,individual,phone_transcript,api_integration,billing_problem,medium,resolved,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,33.61,0,very_positive,5,1,android,APAC
TCKT_002126,2025-09-01 00:46:33,CUST_02251,non_profit,phone_transcript,analytics_dashboard,account_access,low,resolved,gold,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,Reset account credentials and confirmed successful login.,39.91,0,negative,3,0,desktop_app,EU
TCKT_002269,2025-09-23 10:33:52,CUST_05416,education,chat,mobile_app,security_concern,medium,resolved,standard,I noticed a suspicious login on my account.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,"Investigated logs, mitigated the issue, and updated security settings.",42.95,1,very_negative,2,1,android,EU
TCKT_002282,2025-09-23 00:56:58,CUST_07599,non_profit,email,login_auth,performance,low,closed_no_action,gold,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,154.73,0,positive,0,0,android,APAC
TCKT_002313,2025-09-22 07:14:39,CUST_08526,education,phone_transcript,data_export,billing_problem,urgent,resolved,standard,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. This has been escalated to our on-call team for immediate attention.,Adjusted the invoice and issued a refund where applicable.,4.63,0,very_negative,2,0,android,LATAM
TCKT_002438,2025-09-14 20:34:37,CUST_02279,education,email,analytics_dashboard,account_access,low,in_progress,standard,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,,,1,negative,0,0,web,
TCKT_002471,2025-09-19 07:56:17,CUST_00553,education,in_app,data_export,feature_request,low,resolved,standard,Can you add an option to customize data export?,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Captured the request and added it to the product backlog.,29.67,0,negative,3,0,ios,
TCKT_002479,2025-09-23 20:36:46,CUST_06201,small_business,web_form,mobile_app,billing_problem,low,resolved,gold,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,Adjusted the invoice and issued a refund where applicable.,16.0,0,negative,0,0,desktop_app,APAC
TCKT_002644,2025-09-05 08:17:11,CUST_04982,individual,chat,data_export,other,medium,resolved,gold,"Something seems off, can you please check my workspace?",Thanks for contacting support. Our team is reviewing this and will follow up within 24 hours.,Provided general guidance and confirmed the issue was resolved.,17.59,1,positive,4,0,android,MEA
TCKT_002756,2025-09-24 15:49:17,CUST_08364,enterprise,in_app,api_integration,billing_problem,low,open,standard,I was charged twice for my subscription this month.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,,,0,positive,4,0,android,
TCKT_002779,2025-09-11 00:41:42,CUST_02121,education,chat,data_export,security_concern,low,on_hold,gold,We need details about your data encryption and compliance.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,,,0,very_positive,0,0,android,MEA
TCKT_002853,2025-09-10 03:44:40,CUST_01460,enterprise,phone_transcript,data_export,billing_problem,urgent,resolved,gold,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. This has been escalated to our on-call team for immediate attention.,Adjusted the invoice and issued a refund where applicable.,4.95,0,negative,2,0,android,
TCKT_002886,2025-09-02 21:14:45,CUST_02250,small_business,chat,billing,bug,medium,in_progress,gold,I am seeing an error message when I click on billing.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,,,0,very_negative,2,0,api_client,LATAM
TCKT_002902,2025-09-28 20:44:40,CUST_01859,small_business,web_form,analytics_dashboard,performance,high,resolved,gold,The analytics dashboard page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We are prioritizing this and will update you as soon as possible.,Optimized queries and increased resource allocation.,5.07,0,neutral,4,0,api_client,
TCKT_002950,2025-09-28 08:31:35,CUST_05137,non_profit,web_form,notifications,bug,low,resolved,gold,The page keeps crashing whenever I try to open the notifications section.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,Patched the bug and deployed a fix to production.,57.25,0,very_negative,0,1,ios,EU
TCKT_002995,2025-09-28 00:04:21,CUST_08934,enterprise,phone_transcript,notifications,bug,medium,on_hold,standard,The page keeps crashing whenever I try to open the notifications section.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,,,0,neutral,3,0,web,MEA
TCKT_003135,2025-09-30 00:13:27,CUST_09364,small_business,web_form,api_integration,account_access,urgent,in_progress,platinum,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. This has been escalated to our on-call team for immediate attention.,,,0,negative,3,0,android,EU
TCKT_003170,2025-09-22 19:16:24,CUST_00809,individual,phone_transcript,data_export,feature_request,low,resolved,standard,It would be great to have data export support in your product.,Thanks for your feature suggestion. We will look into this and get back to you within the next 48 hours.,Captured the request and added it to the product backlog.,10.65,0,neutral,0,0,android,EU
TCKT_003277,2025-09-30 17:48:01,CUST_01654,enterprise,chat,api_integration,security_concern,low,in_progress,standard,I noticed a suspicious login on my account.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,1,ios,EU
TCKT_003279,2025-09-17 19:03:11,CUST_03229,enterprise,phone_transcript,billing,feature_request,medium,resolved,gold,Our team needs more advanced options for billing.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,Captured the request and added it to the product backlog.,4.73,0,negative,0,0,android,LATAM
TCKT_003352,2025-09-20 04:32:05,CUST_07247,non_profit,phone_transcript,billing,how_to,high,resolved,standard,I need help setting up billing for my team.,Happy to help with your question. We are prioritizing this and will update you as soon as possible.,Provided step-by-step instructions and relevant documentation.,9.63,0,neutral,3,0,desktop_app,EU
TCKT_003410,2025-09-19 04:14:25,CUST_01674,individual,email,login_auth,security_concern,low,on_hold,standard,I noticed a suspicious login on my account.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,,,0,positive,5,0,desktop_app,
TCKT_003411,2025-09-09 11:12:40,CUST_06034,education,web_form,mobile_app,bug,low,resolved,standard,The page keeps crashing whenever I try to open the mobile app section.,Thanks for reporting this bug. We will look into this and get back to you within the next 48 hours.,Patched the bug and deployed a fix to production.,57.59,0,negative,3,0,api_client,EU
TCKT_003455,2025-09-13 15:52:17,CUST_07591,education,phone_transcript,analytics_dashboard,performance,low,closed_no_action,gold,Queries in the analytics dashboard module are timing out.,We understand performance issues can be frustrating. We will look into this and get back to you within the next 48 hours.,Ticket closed without further action after no response from the customer.,73.75,0,negative,2,0,android,APAC
TCKT_003471,2025-09-06 12:10:48,CUST_09915,enterprise,in_app,api_integration,account_access,low,open,gold,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,,,0,very_negative,0,0,ios,
TCKT_003507,2025-09-07 21:23:15,CUST_06351,non_profit,in_app,notifications,account_access,medium,resolved,gold,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. Our team is reviewing this and will follow up within 24 hours.,Reset account credentials and confirmed successful login.,46.46,0,negative,2,0,api_client,LATAM
TCKT_003533,2025-09-14 00:34:24,CUST_01884,non_profit,email,billing,performance,high,in_progress,gold,Overall performance has degraded in the last few days.,We understand performance issues can be frustrating. We are prioritizing this and will update you as soon as possible.,,,0,positive,4,1,desktop_app,MEA
TCKT_003641,2025-09-14 20:20:10,CUST_06321,small_business,chat,analytics_dashboard,feature_request,medium,in_progress,standard,It would be great to have analytics dashboard support in your product.,Thanks for your feature suggestion. Our team is reviewing this and will follow up within 24 hours.,,,0,very_negative,0,0,web,LATAM
TCKT_003657,2025-09-22 05:11:47,CUST_01267,small_business,web_form,api_integration,security_concern,urgent,in_progress,standard,I noticed a suspicious login on my account.,We take security very seriously. This has been escalated to our on-call team for immediate attention.,,,1,negative,3,1,ios,LATAM
TCKT_003673,2025-09-03 13:49:44,CUST_04487,individual,web_form,data_export,security_concern,low,resolved,platinum,There seems to be a vulnerability in the data export functionality.,We take security very seriously. We will look into this and get back to you within the next 48 hours.,"Investigated logs, mitigated the issue, and updated security settings.",56.36,0,negative,2,0,android,EU
TCKT_003784,2025-09-09 02:30:37,CUST_08707,enterprise,in_app,api_integration,bug,medium,resolved,gold,The page keeps crashing whenever I try to open the api integration section.,Thanks for reporting this bug. Our team is reviewing this and will follow up within 24 hours.,Patched the bug and deployed a fix to production.,17.5,0,neutral,4,0,api_client,EU
TCKT_003834,2025-09-14 01:58:01,CUST_09788,education,chat,data_export,account_access,low,resolved,gold,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,Reset account credentials and confirmed successful login.,26.19,0,very_negative,0,0,ios,EU
TCKT_003876,2025-09-20 13:18:15,CUST_05312,education,phone_transcript,billing,billing_problem,medium,resolved,platinum,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,43.71,0,very_positive,5,1,web,MEA
TCKT_003985,2025-09-18 07:39:57,CUST_00290,small_business,phone_transcript,analytics_dashboard,other,low,in_progress,standard,I need help but I'm not sure which category this fits in.,Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,,,0,very_negative,1,0,api_client,LATAM
TCKT_004025,2025-09-04 02:11:50,CUST_01351,enterprise,in_app,analytics_dashboard,account_access,low,resolved,standard,I cannot log in; the system says my password is incorrect.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,Reset account credentials and confirmed successful login.,29.43,0,very_negative,2,0,desktop_app,LATAM
TCKT_004109,2025-09-15 00:46:37,CUST_06385,small_business,email,mobile_app,billing_problem,low,in_progress,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. We will look into this and get back to you within the next 48 hours.,,,0,neutral,0,0,web,APAC
TCKT_004114,2025-09-20 16:52:25,CUST_01379,individual,web_form,data_export,bug,high,in_progress,gold,The page keeps crashing whenever I try to open the data export section.,Thanks for reporting this bug. We are prioritizing this and will update you as soon as possible.,,,0,very_positive,0,0,desktop_app,MEA
TCKT_004250,2025-09-30 06:45:55,CUST_06834,small_business,phone_transcript,api_integration,billing_problem,high,in_progress,standard,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. We are prioritizing this and will update you as soon as possible.,,,0,neutral,0,0,api_client,LATAM
TCKT_004331,2025-09-11 00:47:03,CUST_03155,enterprise,email,login_auth,performance,high,in_progress,standard,The login auth page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We are prioritizing this and will update you as soon as possible.,,,0,negative,0,0,api_client,APAC
TCKT_004369,2025-09-01 02:27:26,CUST_02276,small_business,in_app,data_export,billing_problem,medium,resolved,standard,My invoice amount is incorrect compared to the plan I selected.,Thanks for reaching out about the billing issue. Our team is reviewing this and will follow up within 24 hours.,Adjusted the invoice and issued a refund where applicable.,10.9,0,very_negative,1,0,ios,
TCKT_004422,2025-09-05 21:44:32,CUST_03699,individual,web_form,analytics_dashboard,billing_problem,urgent,on_hold,standard,I downgraded my plan but I am still being billed for the higher tier.,Thanks for reaching out about the billing issue. This has been escalated to our on-call team for immediate attention.,,,0,negative,3,0,desktop_app,EU
TCKT_004439,2025-09-20 16:48:42,CUST_00332,individual,chat,notifications,how_to,medium,resolved,standard,Can you explain how to configure notifications properly?,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,Provided step-by-step instructions and relevant documentation.,26.3,0,negative,2,0,ios,LATAM
TCKT_004448,2025-09-07 01:11:50,CUST_03744,non_profit,in_app,billing,account_access,low,resolved,standard,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,Reset account credentials and confirmed successful login.,16.5,0,very_negative,2,0,ios,
TCKT_004478,2025-09-27 09:42:38,CUST_08280,small_business,in_app,api_integration,how_to,low,in_progress,gold,Can you explain how to configure api integration properly?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,,,0,neutral,0,0,desktop_app,EU
TCKT_004494,2025-09-08 17:09:03,CUST_06989,small_business,chat,login_auth,account_access,urgent,resolved,standard,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. This has been escalated to our on-call team for immediate attention.,Reset account credentials and confirmed successful login.,6.18,0,very_negative,0,0,desktop_app,
TCKT_004549,2025-09-28 18:53:05,CUST_06319,education,web_form,mobile_app,how_to,low,resolved,standard,How can I export my data from the mobile app section?,Happy to help with your question. We will look into this and get back to you within the next 48 hours.,Provided step-by-step instructions and relevant documentation.,52.58,0,very_positive,5,0,api_client,LATAM
TCKT_004568,2025-09-26 08:35:28,CUST_00267,enterprise,phone_transcript,billing,other,low,resolved,gold,"Something seems off, can you please check my workspace?",Thanks for contacting support. We will look into this and get back to you within the next 48 hours.,Provided general guidance and confirmed the issue was resolved.,62.74,0,neutral,3,0,android,APAC
TCKT_004641,2025-09-03 15:26:56,CUST_05107,non_profit,phone_transcript,login_auth,account_access,low,in_progress,standard,My 2FA code is not working when I try to sign in.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,,,0,neutral,0,0,ios,MEA
TCKT_004647,2025-09-19 23:15:21,CUST_00953,individual,in_app,login_auth,account_access,low,in_progress,standard,My account was locked after multiple failed login attempts.,Sorry to hear you're having trouble accessing your account. We will look into this and get back to you within the next 48 hours.,,,0,neutral,3,0,api_client,
TCKT_004667,2025-09-23 05:07:25,CUST_01974,small_business,phone_transcript,analytics_dashboard,how_to,medium,in_progress,gold,Can you explain how to configure analytics dashboard properly?,Happy to help with your question. Our team is reviewing this and will follow up within 24 hours.,,,1,very_positive,0,1,web,
TCKT_004701,2025-09-19 00:42:07,CUST_03500,non_profit,chat,api_integration,other,medium,resolved,standard,"Something seems off, can you please check my workspace?",Thanks for contacting support. Our team is reviewing this and will follow up within 24 hours.,Provided general guidance and confirmed the issue was resolved.,12.17,0,positive,4,0,api_client,LATAM
TCKT_004813,2025-09-27 20:06:15,CUST_00739,small_business,email,mobile_app,security_concern,medium,in_progress,gold,There seems to be a vulnerability in the mobile app functionality.,We take security very seriously. Our team is reviewing this and will follow up within 24 hours.,,,0,negative,3,0,desktop_app,
TCKT_004845,2025-09-24 19:13:56,CUST_09317,enterprise,email,login_auth,performance,high,in_progress,standard,The login auth page is very slow and takes a long time to load.,We understand performance issues can be frustrating. We are prioritizing this and will update you as soon as possible.,,,0,very_negative,0,1,desktop_app,
